du-id,measTimeStampRf,nrCellIdentity,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4,Viavi.UE.anomalies,ue-id
1003,2021-06-25T11:42:33.745,c3/N77,56.0,0.1,0.1,-594.0,-981.0,-117.2209815512,-40.7931831377,15.0078059016,c2/N77,c3/B13,c10/N77,c1/N77,c3/B2,-117.4979036229,-40.7932733685,14.7308838299,-119.2256797889,-40.7939869875,13.0031076639,-122.3730509717,-40.7962997726,9.8557364811,-124.9194795942,-40.7998746009,7.3093078586,-125.1001895449,-40.8002168125,7.1285979079,0,Waiting passenger 9
1002,2021-06-25T11:42:33.755,c2/N77,58.0,0.1,0.1,-1010.0,-1024.0,-117.7378034374,-40.7933563233,14.4909840154,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425016751,-40.7942617113,12.4862857777,-119.9560424328,-40.7943851132,12.27274502,-122.5711586077,-40.7965090929,9.6576288451,-123.1446579317,-40.7971717025,9.0841295211,-125.6170114312,-40.8012777382,6.6117760216,0,Waiting passenger 3
1006,2021-06-25T11:42:33.755,c6/B13,62.0,0.25,0.25,-231.0249707397,761.9833728488,-88.1370100975,-10.7935049343,34.0917773553,c6/B2,c6/N77,c7/B13,c1/B13,c5/B13,-94.0115198536,-10.7983547596,28.2172675992,-86.1323118598,-10.7928792615,36.096475593,-91.7992165006,-10.7957446152,30.4295709522,-93.7557044279,-10.7979807898,28.4730830249,-96.427034775,-10.8032159756,25.8017526778,0,Pedestrian-2
1013,2021-06-25T11:42:33.755,c13/B13,45.0,0.3,0.1585692016,2366.4,-1001.0,-92.7682167436,-10.7967269848,29.4605707092,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6427264997,-10.8107895243,23.5860609531,-90.7635185059,-10.7949106109,31.4652689469,-99.8053746359,-10.8165982724,22.4234128169,-100.1965325885,-10.8189270099,22.0322548643,-102.5244842252,-10.8380548023,19.7043032276,0,Train passenger 3
1010,2021-06-25T11:42:33.755,c10/N77,48.0,0.1,0.1,-1269.0,-1344.0,-114.8015886427,-40.7925977416,17.4271988101,c10/B13,c9/N77,c10/B2,c2/N77,c3/N77,-116.8062868805,-40.7930583283,15.4225005724,-120.7779321318,-40.7949209066,11.450855321,-122.6807966365,-40.7966291026,9.5479908163,-122.8330111327,-40.7968008142,9.3957763201,-124.9749387341,-40.7999781167,7.2538487187,0,Waiting passenger 8
1005,2021-06-25T11:42:33.755,c5/B13,91.0,0.75,0.414313178,1008.0,358.8,-84.1584346847,-10.7924896577,38.0703527681,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.0329444407,-10.7944310599,32.1958430121,-82.153736447,-10.7922392934,40.0750510058,-95.1098998624,-10.8002356064,27.1188875904,-96.3218682,-10.8029434998,25.9069192528,-97.7179095771,-10.8071561257,24.5108778757,0,Car-3
1001,2021-06-25T11:42:33.755,c1/B13,30.0,0.25,0.1332221688,30.9962690475,-292.0297670958,-85.0964159512,-10.7926528974,37.1323715016,c1/B2,c1/N77,c3/B13,c4/B13,c2/B13,-90.9709257072,-10.7950621034,31.2578617456,-83.0917177135,-10.7923421859,39.1370697393,-94.1630185961,-10.7985868266,28.0657688567,-94.2520299136,-10.7987269924,27.9767575392,-94.8405160837,-10.7997294718,27.3882713691,0,Pedestrian-1
1013,2021-06-25T11:42:33.765,c13/N77,77.0,0.3,0.3,2270.3,-1009.0,-89.50095523,-10.7941292429,32.7278322228,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.5056534677,-10.7954877126,30.7231339851,-97.3801632238,-10.8060099586,24.848624229,-97.2991557517,-10.8057480125,24.9296317011,-97.705121006,-10.8071110894,24.5236664468,-100.2759730823,-10.8194259612,21.9528143705,0,Train passenger 2
1001,2021-06-25T11:42:33.765,c1/B13,30.0,0.75,0.117887024,5.0,-480.6,-89.3722121965,-10.7940615893,32.8565752563,c1/B2,c1/N77,c3/B13,c4/B13,c2/B13,-95.2467219525,-10.8005049278,26.9820655003,-87.3675139587,-10.7932301661,34.8612734941,-91.9222231138,-10.7958575264,30.306564339,-94.1199352537,-10.7985200066,28.1088521991,-94.223491129,-10.7986817397,28.0052963238,0,Car-4
1010,2021-06-25T11:42:33.775,c10/N77,48.0,0.1,0.1,-1269.0,-1344.0,-114.8015886427,-40.7925977416,17.4271988101,c10/B13,c9/N77,c10/B2,c2/N77,c3/N77,-116.8062868805,-40.7930583283,15.4225005724,-120.7779321318,-40.7949209066,11.450855321,-122.6807966365,-40.7966291026,9.5479908163,-122.8330111327,-40.7968008142,9.3957763201,-124.9749387341,-40.7999781167,7.2538487187,0,Waiting passenger 8
1003,2021-06-25T11:42:33.775,c3/B13,45.0,0.1,0.0762489171,-512.0,-913.0,-118.2297170673,-40.7935414439,13.9990703855,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.2250188296,-40.7929022759,16.0037686232,-119.3639853736,-40.7940573339,12.8648020792,-124.1042268234,-40.7984958079,8.1245606294,-125.3744722924,-40.8007641525,6.8543151604,-126.1315516671,-40.8024668337,6.0972357857,0,Waiting passenger 1
1001,2021-06-25T11:42:33.775,c1/B13,30.0,0.75,0.1295538196,330.4,-2.0,-86.1191234832,-10.7928760272,36.1096639696,c1/B2,c1/N77,c4/B13,c5/B13,c6/B13,-91.9936332392,-10.7959245567,30.2351542136,-84.1144252454,-10.7924828305,38.1143622074,-93.1967259531,-10.7972363014,29.0320614998,-93.2311759957,-10.7972794694,28.9976114571,-97.0168391678,-10.8048722546,25.211948285,0,Car-2
1006,2021-06-25T11:42:33.775,c6/B13,62.0,0.25,0.25,-231.0332943196,761.977830465,-88.1372022146,-10.7935050091,34.0915852382,c6/B2,c6/N77,c7/B13,c1/B13,c5/B13,-94.0117119707,-10.7983550488,28.2170754821,-86.1325039769,-10.7928793087,36.0962834759,-91.7990843253,-10.7957444955,30.4297031275,-93.7556729193,-10.7979807451,28.4731145336,-96.4270918014,-10.8032161251,25.8016956514,0,Pedestrian-2
1009,2021-06-25T11:42:33.785,c9/B13,45.0,0.1,0.065244493,-1421.0,-964.0,-120.3798277805,-40.7946487236,11.8489596723,c9/N77,c2/B13,c10/B13,c8/B13,c9/B2,-118.3751295428,-40.7936003024,13.85365791,-122.8457359437,-40.796815443,9.3830515091,-123.4232974011,-40.7975265833,8.8054900517,-125.6833827318,-40.8014233416,6.545404721,-126.2543375366,-40.8027719728,5.9744499162,0,Waiting passenger 4
1005,2021-06-25T11:42:33.785,c5/B13,91.0,0.75,0.414153283,1008.0,358.2,-84.1731296447,-10.7924919528,38.0556578082,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.0476394007,-10.7944399327,32.1811480521,-82.1684314069,-10.79224074,40.0603560459,-95.1043996707,-10.8002249559,27.1243877821,-96.3202360194,-10.8029393226,25.9085514334,-97.7203859736,-10.8071648619,24.5084014792,0,Car-3
1013,2021-06-25T11:42:33.785,c13/N77,77.0,0.3,0.3,2270.1,-1009.0,-89.4981662009,-10.7941277559,32.7306212519,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.5028644386,-10.7954853541,30.7259230142,-97.3773741946,-10.8060008588,24.8514132582,-97.2980573737,-10.8057444942,24.9307300791,-97.7041206596,-10.8071075721,24.5246667932,-100.2754196776,-10.8194224539,21.9533677752,0,Train passenger 2
1003,2021-06-25T11:42:33.795,c3/B13,45.0,0.1,0.0762489171,-512.0,-913.0,-118.2297170673,-40.7935414439,13.9990703855,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.2250188296,-40.7929022759,16.0037686232,-119.3639853736,-40.7940573339,12.8648020792,-124.1042268234,-40.7984958079,8.1245606294,-125.3744722924,-40.8007641525,6.8543151604,-126.1315516671,-40.8024668337,6.0972357857,0,Waiting passenger 1
1013,2021-06-25T11:42:33.795,c13/B13,45.0,0.3,0.1586247624,2366.0,-1004.0,-92.7578807016,-10.7967153089,29.4709067512,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6323904576,-10.8107445115,23.5963969952,-90.7531824639,-10.7949032488,31.475604989,-99.807853153,-10.8166123814,22.4209342999,-100.1884480885,-10.8188767392,22.0403393643,-102.5318601342,-10.8381329878,19.6969273186,0,Train passenger 1
1001,2021-06-25T11:42:33.795,c1/B13,30.0,0.25,0.1332201055,30.9937817458,-292.0496118264,-85.0969911709,-10.7926530087,37.1317962819,c1/B2,c1/N77,c3/B13,c4/B13,c2/B13,-90.971500927,-10.7950625337,31.2572865258,-83.0922929332,-10.7923422561,39.1364945196,-94.1628111194,-10.7985865032,28.0659763334,-94.251990495,-10.7987269297,27.9767969578,-94.8404374964,-10.7997293286,27.3883499564,0,Pedestrian-1
1001,2021-06-25T11:42:33.795,c1/B13,30.0,0.75,0.1179259113,5.0,-480.0,-89.3613674909,-10.7940559815,32.8674199619,c1/B2,c1/N77,c3/B13,c4/B13,c2/B13,-95.235877247,-10.8004832706,26.9929102059,-87.3566692532,-10.793226631,34.8721181996,-91.9300974083,-10.7958648639,30.2986900445,-94.1204997786,-10.7985208779,28.1082876742,-94.2240423531,-10.7986826109,28.0047450997,0,Car-4
1002,2021-06-25T11:42:33.795,c2/N77,50.0,0.1,0.1,-570.0,-841.0,-115.5031221937,-40.7927353966,16.7256652591,c2/B13,c3/N77,c2/B2,c10/N77,c1/N77,-117.5078204315,-40.7932767077,14.7209670213,-117.8386946369,-40.7933926021,14.3900928159,-123.3823301875,-40.79747297,8.8464572653,-123.5875694902,-40.7977467095,8.6412179626,-123.867047551,-40.7981408596,8.3617399018,0,Waiting passenger 7
1009,2021-06-25T11:42:33.805,c9/B13,45.0,0.1,0.0797058314,-1622.0,-1334.0,-117.5636378775,-40.793295645,14.6651495753,c9/N77,c10/B13,c9/B2,c2/B13,c8/B13,-115.5589396398,-40.7927473338,16.669847813,-121.4404220543,-40.7954329453,10.7883653985,-123.4381476335,-40.7975461426,8.7906398193,-126.6365595574,-40.8037788481,5.5922278954,-128.2416066243,-40.8091186172,3.9871808285,0,Waiting passenger 10
1010,2021-06-25T11:42:33.805,c10/N77,48.0,0.1,0.1,-1269.0,-1344.0,-114.8015886427,-40.7925977416,17.4271988101,c10/B13,c9/N77,c10/B2,c2/N77,c3/N77,-116.8062868805,-40.7930583283,15.4225005724,-120.7779321318,-40.7949209066,11.450855321,-122.6807966365,-40.7966291026,9.5479908163,-122.8330111327,-40.7968008142,9.3957763201,-124.9749387341,-40.7999781167,7.2538487187,0,Waiting passenger 8
1013,2021-06-25T11:42:33.815,c13/B13,45.0,0.3,0.1586081723,2365.8,-1001.0,-92.7609669772,-10.7967187924,29.4678204756,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6354767333,-10.8107579408,23.5933107195,-90.7562687395,-10.7949054452,31.4725187133,-99.8022423811,-10.8165804535,22.4265450717,-100.1936702051,-10.8189092005,22.0351172477,-102.5228097712,-10.8380370712,19.7059776817,0,Train passenger 3
1009,2021-06-25T11:42:33.815,c9/B13,45.0,0.1,0.0797058314,-1622.0,-1334.0,-117.5636378775,-40.793295645,14.6651495753,c9/N77,c10/B13,c9/B2,c2/B13,c8/B13,-115.5589396398,-40.7927473338,16.669847813,-121.4404220543,-40.7954329453,10.7883653985,-123.4381476335,-40.7975461426,8.7906398193,-126.6365595574,-40.8037788481,5.5922278954,-128.2416066243,-40.8091186172,3.9871808285,0,Waiting passenger 10
1003,2021-06-25T11:42:33.815,c3/B13,45.0,0.1,0.0762489171,-512.0,-913.0,-118.2297170673,-40.7935414439,13.9990703855,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.2250188296,-40.7929022759,16.0037686232,-119.3639853736,-40.7940573339,12.8648020792,-124.1042268234,-40.7984958079,8.1245606294,-125.3744722924,-40.8007641525,6.8543151604,-126.1315516671,-40.8024668337,6.0972357857,0,Waiting passenger 1
1003,2021-06-25T11:42:33.815,c3/B13,45.0,0.1,0.0813449499,-415.0,-1365.0,-117.2490195466,-40.793192014,14.9797679062,c3/N77,c3/B2,c10/B13,c2/B13,c11/B13,-115.2443213089,-40.7926820098,16.984466144,-123.1235293026,-40.7971457088,9.1052581502,-123.301019804,-40.7973680447,8.9277676488,-124.9250413616,-40.7998849226,7.3037460912,-125.2841624356,-40.8005801135,6.9446250172,0,Waiting passenger 2
1013,2021-06-25T11:42:33.815,c13/B13,45.0,0.3,0.1586377727,2365.8,-1004.0,-92.7554603904,-10.7967125789,29.4733270624,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6299701465,-10.8107339866,23.5988173063,-90.7507621527,-10.7949015274,31.4780253001,-99.8068100506,-10.8166064425,22.4219774022,-100.1874925173,-10.8188708035,22.0412949355,-102.5313030743,-10.8381270783,19.6974843785,0,Train passenger 1
1009,2021-06-25T11:42:33.815,c9/N77,59.0,0.1,0.1,-1485.0,-855.0,-118.0823889492,-40.7934837854,14.1463985036,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-120.0870871869,-40.7944638999,12.1417002659,-120.8594269719,-40.7949797655,11.3693604809,-122.5551099771,-40.7964917787,9.6736774757,-122.7378393511,-40.7966927486,9.4909481017,-125.961596943,-40.8020584253,6.2671905098,0,Waiting passenger 5
1013,2021-06-25T11:42:33.825,c13/B13,45.0,0.3,0.1586442792,2365.7,-1004.0,-92.7542499876,-10.7967112142,29.4745374652,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6287597437,-10.8107287252,23.6000277091,-90.7495517499,-10.7949006669,31.4792357029,-99.8062884565,-10.8166034734,22.4224989963,-100.1870146996,-10.8188678359,22.0417727532,-102.5310245448,-10.8381241238,19.697762908,0,Train passenger 1
1009,2021-06-25T11:42:33.835,c9/B13,45.0,0.1,0.0797058314,-1622.0,-1334.0,-117.5636378775,-40.793295645,14.6651495753,c9/N77,c10/B13,c9/B2,c2/B13,c8/B13,-115.5589396398,-40.7927473338,16.669847813,-121.4404220543,-40.7954329453,10.7883653985,-123.4381476335,-40.7975461426,8.7906398193,-126.6365595574,-40.8037788481,5.5922278954,-128.2416066243,-40.8091186172,3.9871808285,0,Waiting passenger 10
1002,2021-06-25T11:42:33.835,c2/N77,58.0,0.1,0.1,-1010.0,-1024.0,-117.7378034374,-40.7933563233,14.4909840154,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425016751,-40.7942617113,12.4862857777,-119.9560424328,-40.7943851132,12.27274502,-122.5711586077,-40.7965090929,9.6576288451,-123.1446579317,-40.7971717025,9.0841295211,-125.6170114312,-40.8012777382,6.6117760216,0,Waiting passenger 3
1005,2021-06-25T11:42:33.845,c5/B13,91.0,0.75,0.413833655,1008.0,357.0,-84.2025047122,-10.792496564,38.0262827406,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.0770144682,-10.7944577593,32.1517729846,-82.1978064745,-10.7922436465,40.0309809783,-95.0933892181,-10.8002036757,27.1353982347,-96.3169780195,-10.8029309892,25.9118094333,-97.7253404655,-10.8071823551,24.5034469873,0,Car-3
1002,2021-06-25T11:42:33.845,c2/B13,91.0,0.75,0.4451567313,-993.0,-656.0,-81.3239114463,-10.7921650579,40.9048760065,c2/B2,c2/N77,c8/B13,c3/B13,c10/B13,-87.1984212024,-10.793176037,35.0303662504,-79.3192132086,-10.7920346972,42.9095742442,-95.1823537274,-10.8003771699,27.0464337254,-95.4405611205,-10.8009012733,26.7882263323,-95.8609568839,-10.8018239934,26.3678305689,0,Car-1
1003,2021-06-25T11:42:33.855,c3/B13,45.0,0.1,0.0813449499,-415.0,-1365.0,-117.2490195466,-40.793192014,14.9797679062,c3/N77,c3/B2,c10/B13,c2/B13,c11/B13,-115.2443213089,-40.7926820098,16.984466144,-123.1235293026,-40.7971457088,9.1052581502,-123.301019804,-40.7973680447,8.9277676488,-124.9250413616,-40.7998849226,7.3037460912,-125.2841624356,-40.8005801135,6.9446250172,0,Waiting passenger 2
1010,2021-06-25T11:42:33.855,c10/N77,48.0,0.1,0.1,-1269.0,-1344.0,-114.8015886427,-40.7925977416,17.4271988101,c10/B13,c9/N77,c10/B2,c2/N77,c3/N77,-116.8062868805,-40.7930583283,15.4225005724,-120.7779321318,-40.7949209066,11.450855321,-122.6807966365,-40.7966291026,9.5479908163,-122.8330111327,-40.7968008142,9.3957763201,-124.9749387341,-40.7999781167,7.2538487187,0,Waiting passenger 8
1006,2021-06-25T11:42:33.855,c6/B13,62.0,0.25,0.25,-231.0665886393,761.9556609301,-88.137970648,-10.7935053086,34.0908168048,c6/B2,c6/N77,c7/B13,c1/B13,c5/B13,-94.012480404,-10.7983562056,28.2163070488,-86.1332724103,-10.7928794974,36.0955150425,-91.7985556053,-10.7957440171,30.4302318475,-93.7555468961,-10.7979805663,28.4732405567,-96.4273199071,-10.8032167233,25.8014675457,0,Pedestrian-2
1001,2021-06-25T11:42:33.855,c1/B13,30.0,0.25,0.1332170108,30.9900507933,-292.0793789222,-85.0978539331,-10.7926531757,37.1309335197,c1/B2,c1/N77,c3/B13,c4/B13,c2/B13,-90.9723636892,-10.7950631792,31.2564237636,-83.0931556954,-10.7923423614,39.1356317574,-94.1624998953,-10.7985860182,28.0662875576,-94.2519313756,-10.7987268356,27.9768560772,-94.8403196207,-10.7997291139,27.3884678321,0,Pedestrian-1
1009,2021-06-25T11:42:33.865,c9/B13,45.0,0.1,0.0797058314,-1622.0,-1334.0,-117.5636378775,-40.793295645,14.6651495753,c9/N77,c10/B13,c9/B2,c2/B13,c8/B13,-115.5589396398,-40.7927473338,16.669847813,-121.4404220543,-40.7954329453,10.7883653985,-123.4381476335,-40.7975461426,8.7906398193,-126.6365595574,-40.8037788481,5.5922278954,-128.2416066243,-40.8091186172,3.9871808285,0,Waiting passenger 10
1013,2021-06-25T11:42:33.865,c13/N77,77.0,0.3,0.3,2269.3,-1009.0,-89.487001367,-10.794121813,32.7417860858,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.4916996048,-10.795475928,30.737087848,-97.3662093608,-10.8059644894,24.862578092,-97.2936626109,-10.8057304256,24.9351248419,-97.7001183609,-10.807093508,24.5286690919,-100.2732061234,-10.8194084295,21.9555813294,0,Train passenger 2
1004,2021-06-25T11:42:33.865,c4/B2,83.0,0.25,0.25,1419.9292495708,-616.9528897382,-97.044398298,-10.8049552662,25.1843891548,c13/B2,c4/B13,c4/N77,c12/B2,c5/B2,-96.4056142891,-10.8031599423,25.8231731637,-91.1698885419,-10.7952143822,31.0588989109,-89.1651903042,-10.7939569176,33.0635971486,-103.1985557042,-10.8457710284,19.0302317486,-103.9620478084,-10.8560655084,18.2667396444,0,Pedestrian-3
1013,2021-06-25T11:42:33.865,c13/B13,45.0,0.3,0.1586406722,2365.3,-1001.0,-92.75492099,-10.7967119707,29.4738664628,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6294307461,-10.8107316417,23.5993567067,-90.7502227523,-10.7949011439,31.4785647005,-99.7996313787,-10.8165656096,22.4291560742,-100.1912842996,-10.8188943647,22.0375031532,-102.5214143999,-10.8380223005,19.7073730529,0,Train passenger 3
1001,2021-06-25T11:42:33.875,c1/B13,30.0,0.75,0.1297427989,328.4,-2.0,-86.06643618,-10.7928632038,36.1623512728,c1/B2,c1/N77,c4/B13,c5/B13,c6/B13,-91.9409459361,-10.7958749946,30.2878415167,-84.0617379423,-10.7924747475,38.1670495105,-93.2123585469,-10.7972558476,29.0164289059,-93.2466852962,-10.7972990155,28.9821021566,-97.0125781266,-10.8048594666,25.2162093262,0,Car-2
1002,2021-06-25T11:42:33.875,c2/B13,91.0,0.75,0.4449983975,-993.0,-656.6,-81.3384618437,-10.7921662411,40.8903256091,c2/B2,c2/N77,c8/B13,c3/B13,c10/B13,-87.2129715997,-10.7931806124,35.0158158531,-79.333763606,-10.792035443,42.8950238469,-95.1862357422,-10.8003848215,27.0425517106,-95.4380361001,-10.800895996,26.7907513528,-95.855853303,-10.8018122489,26.3729341498,0,Car-1
1013,2021-06-25T11:42:33.875,c13/N77,77.0,0.3,0.3,2269.2,-1009.0,-89.485604781,-10.7941210707,32.7431826718,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.4903030187,-10.7954747506,30.7384844341,-97.3648127748,-10.8059599466,24.863974678,-97.2931131247,-10.8057286675,24.9356743281,-97.6996179708,-10.8070917505,24.529169482,-100.2729294364,-10.819406677,21.9558580164,0,Train passenger 2
1005,2021-06-25T11:42:33.885,c5/B13,91.0,0.75,0.4136206937,1008.0,356.2,-84.2220767137,-10.7924996537,38.0067107391,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.0965864698,-10.7944697039,32.132200983,-82.217378476,-10.792245594,40.0114089768,-95.0860414448,-10.8001895044,27.142746008,-96.31481074,-10.8029254492,25.9139767128,-97.7286447127,-10.8071940328,24.5001427401,0,Car-3
1013,2021-06-25T11:42:33.885,c13/N77,77.0,0.3,0.3,2269.1,-1009.0,-89.4842079766,-10.7941203285,32.7445794762,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.4889062143,-10.7954735734,30.7398812385,-97.3634159704,-10.8059554045,24.8653714824,-97.2925636073,-10.8057269096,24.9362238455,-97.6991175579,-10.8070899932,24.5296698949,-100.272652751,-10.8194049247,21.9561347018,0,Train passenger 2
1001,2021-06-25T11:42:33.885,c1/B13,30.0,0.75,0.12976176,328.2,-2.0,-86.0611498463,-10.7928619258,36.1676376065,c1/B2,c1/N77,c4/B13,c5/B13,c6/B13,-91.9356596023,-10.7958700549,30.2931278505,-84.0564516086,-10.7924739419,38.1723358442,-93.2139221299,-10.7972578065,29.0148653229,-93.2482365715,-10.7973009744,28.9805508813,-97.0121532162,-10.804858192,25.2166342366,0,Car-2
1002,2021-06-25T11:42:33.895,c2/B13,91.0,0.75,0.4448926167,-993.0,-657.0,-81.3481827884,-10.7921670338,40.8806046644,c2/B2,c2/N77,c8/B13,c3/B13,c10/B13,-87.2226925444,-10.7931836777,35.0060949084,-79.3434845506,-10.7920359426,42.8853029022,-95.1888237953,-10.8003899264,27.0399636575,-95.4363537976,-10.8008924817,26.7924336552,-95.8524492714,-10.8018044231,26.3763381814,0,Car-1
